id,title,difficultyId,difficulty,stars,instrument,createdAt,updatedAt
1,Lección 1: Cuerdas al Aire,,easy,,ukulele,Wed Mar 18 2026 22:30:13 GMT-0600 (Central Standard Time),Wed Mar 18 2026 22:30:13 GMT-0600 (Central Standard Time)
2,La Cucaracha,,easy,,ukulele,Fri May 15 2026 11:01:57 GMT-0600 (Central Standard Time),Fri May 15 2026 11:01:57 GMT-0600 (Central Standard Time)
3,Estrellita Dónde Estás (Twinkle Twinkle),,easy,,ukulele,Fri May 15 2026 11:04:14 GMT-0600 (Central Standard Time),Fri May 15 2026 11:04:14 GMT-0600 (Central Standard Time)
5,María tenía un corderito,,easy,,ukulele,Fri May 15 2026 11:04:14 GMT-0600 (Central Standard Time),Fri May 15 2026 11:04:14 GMT-0600 (Central Standard Time)
6,Martinillo (Frère Jacques),,easy,,ukulele,Fri May 15 2026 11:04:14 GMT-0600 (Central Standard Time),Fri May 15 2026 11:04:14 GMT-0600 (Central Standard Time)
7,Cumpleaños Feliz,,easy,,ukulele,Fri May 15 2026 11:04:14 GMT-0600 (Central Standard Time),Fri May 15 2026 11:04:14 GMT-0600 (Central Standard Time)
13,Himno a la Alegría (EXTENDIDA),,easy,,ukulele,Fri May 15 2026 13:44:58 GMT-0600 (Central Standard Time),Fri May 15 2026 13:44:58 GMT-0600 (Central Standard Time)
14,Canon en Re (SESIÓN LARGA),,easy,,ukulele,Fri May 15 2026 13:44:58 GMT-0600 (Central Standard Time),Fri May 15 2026 13:44:58 GMT-0600 (Central Standard Time)
15,Para Elisa (CONCIERTO),,easy,,ukulele,Fri May 15 2026 13:44:58 GMT-0600 (Central Standard Time),Fri May 15 2026 13:44:58 GMT-0600 (Central Standard Time)
16,Guitarra Acústica 101: Cuerdas al aire,,easy,,guitar_acoustic,Sat May 16 2026 21:14:58 GMT-0600 (Central Standard Time),Sat May 16 2026 21:14:58 GMT-0600 (Central Standard Time)
17,Twinkle Twinkle (Guitarra Acústica),,easy,,guitar_acoustic,Sat May 16 2026 21:14:58 GMT-0600 (Central Standard Time),Sat May 16 2026 21:14:58 GMT-0600 (Central Standard Time)
18,Guitarra Eléctrica 101: Riff al aire,,easy,,guitar_electric,Sat May 16 2026 21:14:58 GMT-0600 (Central Standard Time),Sat May 16 2026 21:14:58 GMT-0600 (Central Standard Time)
19,Riff de Rock Clásico (Smoke on the Water),,easy,,guitar_electric,Sat May 16 2026 21:14:58 GMT-0600 (Central Standard Time),Sat May 16 2026 21:14:58 GMT-0600 (Central Standard Time)
20,Violín 101: Cuerdas al aire,,easy,,violin,Sat May 16 2026 21:14:58 GMT-0600 (Central Standard Time),Sat May 16 2026 21:14:58 GMT-0600 (Central Standard Time)
21,Himno a la Alegría (Violín),,easy,,violin,Sat May 16 2026 21:14:58 GMT-0600 (Central Standard Time),Sat May 16 2026 21:14:58 GMT-0600 (Central Standard Time)
