id,score,stars,completed,maxCombo,accuracy,instrument,userId,levelId,createdAt,updatedAt
1,80,3,true,4,100,ukulele,a9451a35-9d3e-43d7-9b15-94981c12657b,1,Fri May 15 2026 10:13:10 GMT-0600 (Central Standard Time),Sat May 16 2026 13:11:53 GMT-0600 (Central Standard Time)
2,222,3,true,11,90,ukulele,a9451a35-9d3e-43d7-9b15-94981c12657b,5,Fri May 15 2026 11:24:29 GMT-0600 (Central Standard Time),Sat May 16 2026 14:41:02 GMT-0600 (Central Standard Time)
3,250,2,true,15,85,ukulele,a9451a35-9d3e-43d7-9b15-94981c12657b,2,Fri May 15 2026 11:58:37 GMT-0600 (Central Standard Time),Sat May 16 2026 14:41:44 GMT-0600 (Central Standard Time)
4,80,3,true,4,100,ukulele,4bb7045a-972d-4997-be8b-5ca21eb3c896,1,Fri May 15 2026 23:35:01 GMT-0600 (Central Standard Time),Fri May 15 2026 23:35:01 GMT-0600 (Central Standard Time)
5,230,2,true,15,82,ukulele,4bb7045a-972d-4997-be8b-5ca21eb3c896,2,Fri May 15 2026 23:43:49 GMT-0600 (Central Standard Time),Fri May 15 2026 23:43:49 GMT-0600 (Central Standard Time)
6,80,3,true,4,100,ukulele,9110880c-3494-4c58-9847-c5bef5d35721,1,Sat May 16 2026 16:22:35 GMT-0600 (Central Standard Time),Sat May 16 2026 16:22:35 GMT-0600 (Central Standard Time)
7,280,2,true,15,88,ukulele,9110880c-3494-4c58-9847-c5bef5d35721,2,Sat May 16 2026 16:23:19 GMT-0600 (Central Standard Time),Sat May 16 2026 16:23:19 GMT-0600 (Central Standard Time)
8,70,3,true,4,94,ukulele,bfc2b276-f839-4ad2-aaf9-fed982f86f42,1,Sat May 16 2026 16:49:04 GMT-0600 (Central Standard Time),Sat May 16 2026 16:49:04 GMT-0600 (Central Standard Time)
9,300,3,true,17,94,ukulele,bfc2b276-f839-4ad2-aaf9-fed982f86f42,2,Sat May 16 2026 16:49:43 GMT-0600 (Central Standard Time),Sat May 16 2026 16:49:43 GMT-0600 (Central Standard Time)
10,200,2,true,6,80,ukulele,bfc2b276-f839-4ad2-aaf9-fed982f86f42,3,Sat May 16 2026 16:50:46 GMT-0600 (Central Standard Time),Sat May 16 2026 17:12:29 GMT-0600 (Central Standard Time)
11,135,2,true,6,73,ukulele,bfc2b276-f839-4ad2-aaf9-fed982f86f42,7,Sat May 16 2026 17:11:15 GMT-0600 (Central Standard Time),Sat May 16 2026 17:11:15 GMT-0600 (Central Standard Time)
12,170,2,true,3,71,ukulele,dcafe4eb-0b73-4807-855c-b4f90c2ebcd5,3,Sat May 16 2026 22:20:46 GMT-0600 (Central Standard Time),Sat May 16 2026 22:40:51 GMT-0600 (Central Standard Time)
13,80,3,true,4,100,ukulele,dcafe4eb-0b73-4807-855c-b4f90c2ebcd5,1,Sat May 16 2026 22:22:00 GMT-0600 (Central Standard Time),Sat May 16 2026 22:22:00 GMT-0600 (Central Standard Time)
14,285,3,true,16,91,ukulele,dcafe4eb-0b73-4807-855c-b4f90c2ebcd5,2,Sat May 16 2026 22:22:33 GMT-0600 (Central Standard Time),Sat May 16 2026 22:46:39 GMT-0600 (Central Standard Time)
15,185,2,true,7,80,ukulele,9110880c-3494-4c58-9847-c5bef5d35721,3,Sat May 16 2026 22:40:05 GMT-0600 (Central Standard Time),Sat May 16 2026 22:49:49 GMT-0600 (Central Standard Time)
